year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2012,large_ruminant,dairy_cattle,553.00,"2,127.00","5,554.00","24,680.00","21,570.00","13,437.00","93,992.00","6,228.00","1,283.00","1,475.00",35.00,110.00,"8,982.00","101,054.00","3,396.00","2,320.00","4,663.00",31.00,162.00,121.00,87.00,37.00,"1,791.00",21.00,415.00,24.00,0.00,18.00,0.00,200.00,396.00,267.00,285.00,25.00,15.00,58.00,540.00,"12,889.00"
2012,large_ruminant,beef_cattle,"94,735.00","84,315.00","43,411.00","129,549.00","200,008.00","287,943.00","240,746.00","210,039.00","350,170.00","163,850.00","212,621.00","214,900.00","296,867.00","114,579.00","10,078.00","99,965.00","115,852.00","166,215.00","68,831.00","114,630.00","110,850.00","201,992.00","314,810.00","116,963.00","58,268.00","205,157.00","196,807.00","142,445.00","360,862.00","6,251.00","3,549.00","4,433.00","10,473.00",596.00,355.00,385.00,740.00,"3,237.00"
2013,monogastric_poultry,chicken_local,"874,132.00","735,267.00","824,081.00","3,755,031.00","2,557,800.00","1,263,374.00","2,141,663.00","1,002,784.00","1,634,625.00","1,574,273.00","508,684.00","439,043.00","476,683.00","1,176,583.00","355,107.00","745,532.00","1,574,798.00","1,220,487.00","1,116,528.00","702,310.00","633,471.00","1,501,859.00","1,005,860.00","1,908,731.00","647,762.00","955,309.00","463,854.00","777,962.00","771,569.00","78,950.00","53,870.00","54,076.00","73,289.00","45,248.00","14,860.00","61,076.00","34,097.00","46,335.00"
2013,monogastric_poultry,chicken_broiler,"84,418.00","801,581.00","820,090.00","821,688.00","1,295,750.00","3,439,782.00","4,135,418.00","2,800,731.00","2,810,327.00","985,142.00","455,273.00","107,968.00","318,297.00","3,104,476.00","95,202.00","453,717.00","8,804,038.00","920,128.00","305,421.00","1,285,350.00","255,065.00","1,087,140.00","2,241,449.00","13,122,238.00","838,779.00","17,261.00","20,856.00","196,436.00","179,821.00","6,186.00","43,171.00","170,752.00","4,833.00",0.00,"6,379.00",0.00,"242,275.00","11,163.00"
2013,monogastric_poultry,chicken_layer,"4,828.00","187,253.00","180,635.00","3,732,846.00","16,330,600.00","8,468,447.00","2,920,857.00","506,612.00","799,740.00","670,547.00","155,258.00","35,762.00","92,119.00","1,201,781.00","25,035.00","322,235.00","1,591,614.00","845,920.00","202,000.00","2,889,497.00","121,600.00","21,340.00","101,405.00","213,620.00","134,700.00","21,217.00","28,605.00","312,840.00","310,077.00","8,000.00","305,380.00","152,000.00","10,671.00",320.00,0.00,0.00,0.00,"161,000.00"
2013,monogastric_poultry,duck,"16,375.00","46,425.00","92,174.00","419,477.00","726,090.00","183,794.00","226,149.00","302,128.00","175,752.00","279,327.00","62,017.00","59,669.00","65,572.00","98,576.00","213,237.00","260,750.00","181,913.00","101,068.00","37,500.00","27,579.00","39,084.00","98,145.00","65,777.00","169,886.00","28,120.00","48,306.00","13,925.00","48,559.00","55,537.00","4,750.00","8,150.00","14,795.00","7,171.00","16,194.00",900.00,"3,590.00","4,602.00","10,316.00"
2013,monogastric_poultry,muscovy_duck,0.00,"30,026.00","52,143.00","78,929.00","79,780.00","57,888.00","92,412.00",0.00,0.00,"26,988.00","13,212.00","9,473.00","9,355.00","20,093.00","1,362.00","58,086.00","64,239.00","54,218.00","18,200.00","7,955.00","12,327.00","40,205.00","80,593.00","31,069.00","13,385.00","35,898.00","13,450.00","20,863.00","12,118.00","1,250.00","2,630.00",632.00,"1,603.00",720.00,460.00,527.00,"1,264.00","2,970.00"
2013,monogastric,swine,0.00,196.00,15.00,"10,058.00","6,574.00","3,024.00","12,028.00","2,132.00",572.00,530.00,0.00,0.00,0.00,0.00,0.00,880.00,0.00,"1,818.00",390.00,"6,285.00",902.00,0.00,260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00
2013,small_ruminant,sheep,"22,799.00","16,120.00","20,540.00","4,504.00","6,680.00","42,131.00","30,392.00","35,755.00","71,782.00","47,222.00","32,782.00","60,953.00","65,405.00","60,736.00","33,029.00","29,029.00","63,463.00","57,659.00","20,734.00","29,689.00","39,499.00","129,990.00","75,042.00","66,009.00","30,396.00","3,901.00","9,123.00","21,584.00","37,838.00","1,045.00",580.00,345.00,"7,954.00",542.00,"1,010.00",949.00,710.00,"7,551.00"
2013,small_ruminant,goat,"122,115.00","166,398.00","233,965.00","177,087.00","100,326.00","133,280.00","225,374.00","91,038.00","48,962.00","67,149.00","38,991.00","49,280.00","48,812.00","66,724.00","32,375.00","164,466.00","135,131.00","119,556.00","67,500.00","39,418.00","82,188.00","105,013.00","105,639.00","96,185.00","65,270.00","70,405.00","45,663.00","62,762.00","146,835.00","1,852.00","4,573.00","1,052.00","7,180.00","2,116.00","1,892.00","2,751.00","3,097.00","5,560.00"
2013,large_ruminant,buffalo,107.00,301.00,228.00,319.00,"2,306.00",382.00,"1,394.00","4,667.00",324.00,"3,383.00",0.00,237.00,72.00,234.00,606.00,400.00,319.00,473.00,381.00,308.00,"1,570.00","1,026.00","1,840.00",237.00,198.00,"1,460.00",0.00,0.00,"5,027.00",105.00,0.00,150.00,0.00,1.00,8.00,9.00,31.00,15.00
2013,pseudo_ruminant,horse,61.00,120.00,103.00,30.00,130.00,293.00,614.00,942.00,324.00,773.00,919.00,195.00,609.00,993.00,109.00,0.00,14.00,28.00,178.00,165.00,82.00,123.00,347.00,67.00,236.00,633.00,107.00,68.00,"2,126.00",12.00,13.00,58.00,8.00,35.00,10.00,4.00,0.00,52.00
2013,large_ruminant,dairy_cattle,119.00,"1,882.00","4,347.00","21,732.00","13,692.00","8,558.00","72,217.00","4,080.00","1,298.00","1,123.00",17.00,102.00,"7,399.00","78,519.00","3,261.00","1,685.00","3,657.00",68.00,163.00,180.00,65.00,19.00,"1,794.00",21.00,433.00,24.00,0.00,17.00,0.00,200.00,282.00,269.00,207.00,26.00,8.00,32.00,517.00,"9,660.00"
2013,large_ruminant,beef_cattle,"76,546.00","84,751.00","29,906.00","91,789.00","132,934.00","181,727.00","189,145.00","164,892.00","217,763.00","91,384.00","188,740.00","159,308.00","239,564.00","92,174.00","9,458.00","65,843.00","68,926.00","134,255.00","46,500.00","96,185.00","90,692.00","160,037.00","311,359.00","96,714.00","44,270.00","186,027.00","180,849.00","149,855.00","345,095.00","3,510.00","2,689.00","4,241.00","8,519.00",334.00,162.00,299.00,218.00,"2,437.00"
2014,monogastric_poultry,chicken_local,"882,907.00","716,240.00","853,450.00","3,824,870.00","2,583,400.00","1,281,061.00","2,201,166.00","1,012,812.00","1,665,091.00","1,247,721.00","502,347.00","433,029.00","541,676.00","1,217,881.00","356,412.00","713,809.00","1,626,171.00","1,220,510.00","1,473,808.00","684,104.00","598,744.00","1,520,106.00","1,243,668.00","1,946,293.00","663,830.00","970,196.00","464,086.00","811,766.00","773,734.00","124,400.00","55,650.00","54,137.00","75,690.00","44,085.00","12,040.00","63,519.00","28,213.00","50,501.00"
2014,monogastric_poultry,chicken_broiler,"658,048.00","2,647,550.00","1,864,000.00","2,713,815.00","4,222,400.00","8,111,697.00","17,557,738.00","9,441,365.00","7,689,080.00","3,552,750.00","2,485,250.00","408,568.00","1,934,316.00","10,695,230.00","403,240.00","1,116,058.00","22,772,500.00","2,373,684.00","1,414,830.00","9,327,200.00","1,039,168.00","3,625,680.00","9,351,072.00","44,915,846.00","6,532,000.00","736,000.00","66,777.00","970,200.00","564,825.00","42,000.00","133,600.00","180,000.00","35,250.00","74,000.00",0.00,"10,800.00","1,145.00","163,000.00"
2014,monogastric_poultry,chicken_layer,"12,554.00","188,053.00","135,050.00","3,700,730.00","14,679,500.00","8,536,195.00","3,005,562.00","509,144.00","817,846.00","658,970.00","184,247.00","37,250.00","298,350.00","1,299,179.00","24,820.00","254,885.00","1,570,290.00","700,950.00","191,855.00","2,154,166.00","145,750.00","21,700.00","155,918.00","226,928.00","140,000.00","100,963.00","31,780.00","411,500.00","313,472.00","8,000.00","311,800.00","152,300.00","10,532.00","1,433.00",0.00,"1,200.00","1,720.00","162,250.00"
2014,monogastric_poultry,duck,"17,455.00","69,051.00","165,200.00","474,815.00","798,699.00","185,907.00","400,472.00","303,641.00","180,006.00","399,601.00","64,263.00","55,082.00","98,236.00","101,731.00","211,397.00","300,318.00","193,880.00","129,705.00","38,342.00","27,716.00","64,902.00","108,392.00","70,587.00","172,624.00","27,920.00","54,045.00","14,048.00","47,957.00","55,738.00","4,180.00","7,560.00","15,466.00","4,732.00","14,870.00","2,600.00","5,186.00","3,518.00","22,551.00"
2014,monogastric_poultry,muscovy_duck,0.00,"28,965.00","53,372.00","79,661.00","79,780.00","58,448.00","400,287.00",0.00,0.00,"19,053.00","11,489.00","8,741.00","8,029.00","20,093.00","3,378.00","47,466.00","67,330.00","35,630.00","18,312.00","7,995.00","11,508.00","43,180.00","81,189.00","50,943.00","29,478.00","37,700.00","13,465.00","21,230.00","12,217.00","1,438.00","2,940.00",645.00,"1,653.00",743.00,465.00,877.00,517.00,"3,208.00"
2014,monogastric,swine,0.00,196.00,5.00,"10,567.00","2,905.00","2,945.00","12,241.00","2,203.00",537.00,787.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,101.00",383.00,"6,330.00",944.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.00,0.00,0.00,0.00,76.00,0.00,0.00,0.00
