year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2015,monogastric_poultry,chicken_local,891540,860639,908517,3885591,2596300,1297715,2254982,1023943,1698475,1152352,552459,526450,564937,1265027,344007,745493,1709944,1225148,1525783,728080,579662,1531312,1312880,1989343,680930,990545,761101,826011,776742,133875,57450,54219,77205,43904,13000,66060,26773,49920
2015,monogastric_poultry,chicken_broiler,742500,2699250,1919920,2886400,4222400,10896810,27642192,9811040,12120036,3239585,1938800,408568,2878754,11407415,101400,1452858,10984000,3121600,1151072,9274395,1098028,1040101,10632108,46200488,13560000,758000,100166,633000,574250,52000,138750,150000,37800,36388,0,10800,0,144000
2015,monogastric_poultry,chicken_layer,14450,249594,138788,4011274,14973000,8595948,3597860,520877,1109578,544700,161753,42250,207095,1323029,46922,349554,1281200,459750,193743,2804524,164820,23345,192475,514831,153300,100909,47676,424668,319703,15000,311150,150300,15230,1070,0,1600,0,159500
2015,monogastric_poultry,duck,6196,51882,172532,485206,879000,187952,468481,309782,183606,306965,59485,55082,84522,106995,223454,251125,203638,133583,39610,48284,61464,73941,58900,206183,29145,59738,44954,49792,56027,4411,6600,15474,553,21607,3100,5264,3583,25660
2015,monogastric_poultry,muscovy_duck,11434,22481,56059,81496,61780,59032,420892,0,2043,21754,15080,8714,17114,20054,4963,40231,69193,49999,18548,8944,11735,43508,115870,51045,30882,38811,26930,22209,12290,1540,3255,651,684,737,425,891,707,2975
2015,monogastric,swine,0,250,5,10670,2310,2986,12826,2394,534,549,0,0,0,0,0,86,0,1151,383,8809,940,0,300,0,0,0,0,0,0,0,355,0,0,0,54,0,0,0
2015,small_ruminant,sheep,29085,22507,10230,5183,7395,42978,33284,38394,73950,71449,36524,63461,77487,63254,30582,22672,63639,62165,21728,30890,38387,145662,84972,80100,32533,1992,9296,22077,38414,1306,721,375,8535,518,940,977,204,9044
2015,small_ruminant,goat,138639,218414,362287,185936,139021,137309,240823,97224,50259,92554,40185,50614,58598,71466,31617,48537,135590,122698,68294,41747,78577,117742,118797,100184,67602,72225,45994,65171,148683,2596,4163,1094,7547,2372,1380,2861,1747,7650
2015,large_ruminant,buffalo,116,249,244,353,2190,370,1127,4748,275,3879,0,199,34,246,577,432,276,734,376,215,1276,1128,1448,374,198,1352,0,0,5043,126,0,143,0,2,6,9,27,20
2015,pseudo_ruminant,horse,76,92,26,29,132,294,836,967,363,500,883,227,599,864,113,177,15,28,168,167,77,137,67,68,209,621,137,56,2151,17,3,54,11,48,9,7,5,135
2015,large_ruminant,dairy_cattle,106,1898,4831,24710,14230,9390,78029,4576,1338,936,25,235,6611,84424,3425,2285,4656,9,178,198,56,34,189,23,450,21,0,8,0,230,304,257,216,33,0,24,542,11470
2015,large_ruminant,beef_cattle,83659,81807,32668,104824,139372,202263,212821,182993,243390,111304,210650,172528,256249,105469,9507,52891,72887,138522,58174,107683,84149,186861,324295,101790,50064,197675,211176,155086,353124,3764,2920,3858,9217,332,127,306,265,2655
2016,monogastric_poultry,chicken_local,900488,846479,952033,3189018,2726100,1311990,2318121,1035195,1723950,1446480,627078,995544,638972,1269524,367542,750796,1676651,1225138,1578422,589056,621575,1543952,1522827,2032552,703370,1010060,762026,839220,779546,112726,60195,54350,78761,43501,12750,68100,28319,48290
2016,monogastric_poultry,chicken_broiler,761700,2383200,1969277,2870359,3939200,11047103,28335754,8341067,11932763,3822390,1966000,474750,3302721,11491420,66599,2987195,7680100,2989350,1461425,13919679,1579672,1450326,11015580,47678903,14637800,529800,100248,640000,584250,43000,80800,550000,36325,62050,0,18000,722,146000
2016,monogastric_poultry,chicken_layer,14950,323146,144246,4050300,15213000,8096260,5765796,581227,1126222,1165500,181364,42073,150235,1343054,51605,356554,1228700,459350,195260,2637500,205240,32410,237064,546714,152300,100909,50526,439480,322250,15000,310000,167300,11550,1300,0,2100,673,159500
2016,monogastric_poultry,duck,6286,80052,179193,489048,966900,234440,481130,315978,186350,315609,61058,68820,133554,105090,292522,309808,205372,168199,40970,53842,86427,78899,60300,212519,30170,62331,44974,49919,56731,7169,7350,11790,800,11270,3300,5342,87772,32530
2016,monogastric_poultry,muscovy_duck,11434,22481,56059,81496,61780,59032,420892,0,2043,21754,15080,8714,17114,20054,4963,40231,69193,49999,18548,8944,11735,43508,115870,51045,30882,38811,26930,22209,12290,1540,3255,651,684,737,425,891,707,2975
2016,monogastric,swine,0,250,5,10778,6600,2538,13262,2588,454,616,0,0,0,0,0,355,17,1149,380,9426,875,0,301,0,0,0,0,0,0,0,376,0,0,0,15,0,0,258
2016,small_ruminant,sheep,29667,20927,10398,6818,7468,43322,33284,40904,75060,98918,38723,88324,72789,64061,31359,24371,65634,62751,22244,33380,44300,153264,89533,83527,33017,2232,9360,22104,38961,2491,738,383,8886,728,1110,978,282,8582
2016,small_ruminant,goat,147800,194584,383369,191915,139401,139369,248048,103645,51264,118068,43898,73780,61646,71179,32169,51096,122269,122768,72613,38376,82763,122961,127898,102115,70029,73003,46182,66398,150156,2442,3601,1116,7703,2892,1660,2899,1892,6765
2016,large_ruminant,buffalo,117,115,256,428,2012,371,1150,4797,288,3664,0,280,46,248,556,495,297,717,366,156,1108,957,1625,385,224,1290,0,0,5051,134,0,56,0,0,5,8,82,20
2016,pseudo_ruminant,horse,76,79,21,32,172,286,861,985,372,494,807,186,512,922,106,179,15,19,160,181,82,110,109,136,232,601,143,49,2158,14,4,47,12,45,8,4,41,156
2016,large_ruminant,dairy_cattle,147,2177,5190,25229,14941,9766,81150,4989,1451,729,31,218,6750,86847,3632,2692,4773,4,197,236,34,36,127,34,449,20,0,8,0,222,309,187,217,17,0,21,561,11611
2016,large_ruminant,beef_cattle,84393,82102,33887,111016,141347,212376,223717,194049,250112,115386,215184,176398,262408,106252,9802,54575,70448,138601,59518,110228,82197,201954,329272,104779,52858,200279,212776,190635,357422,3686,3076,3708,9592,379,145,306,223,2721
2017,monogastric_poultry,chicken_local,154841,681215,98692,371179,2615700,1333712,2367744,1343244,1753401,1101142,662655,420486,647125,1277600,383216,703450,1559285,1225246,1634883,588918,584797,15609,1523366,271171,712294,17242,774645,865404,7810,58131,62560,54505,80355,43701,13500,63417,22729,44540
