Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
27,HG,BBL,118,826,123.45,"2,004.00",299.52,2.05,2.53,0.42,0.52,0.65,0.80
28,HG,BBL,118,826,123.29,"2,015.00",300.75,2.05,2.53,0.42,0.52,0.65,0.80
29,HG,BBL,119,833,124.16,"2,026.00",301.98,2.05,2.55,0.42,0.52,0.65,0.81
30,HG,BBL,119,833,124.01,"2,036.00",303.10,2.05,2.54,0.42,0.52,0.65,0.81
31,HG,BBL,120,840,124.91,"2,045.00",304.10,2.05,2.56,0.42,0.52,0.65,0.81
32,HG,BBL,120,840,124.79,"2,053.00",304.99,2.05,2.56,0.42,0.52,0.65,0.81
33,HG,BBL,120,840,124.67,"2,061.00",305.89,2.05,2.56,0.42,0.52,0.65,0.81
34,HG,BBL,121,847,125.60,"2,068.00",306.66,2.05,2.57,0.42,0.53,0.65,0.82
35,HG,BBL,121,847,125.51,"2,074.00",307.33,2.05,2.57,0.42,0.53,0.65,0.82
8,HG,BW,42,294,59.73,587.00,119.26,1.00,0.60,0.42,0.25,0.70,0.42
9,HG,BW,47,329,64.69,669.00,131.54,0.95,0.61,0.36,0.23,0.58,0.38
10,HG,BW,51,357,68.18,751.50,143.53,0.95,0.65,0.36,0.25,0.58,0.40
11,HG,BW,54,378,70.36,833.00,155.05,0.95,0.67,0.36,0.25,0.58,0.41
12,HG,BW,57,399,72.57,914.00,166.23,0.95,0.69,0.36,0.26,0.58,0.42
13,HG,BW,60,420,74.83,992.50,176.83,0.95,0.71,0.36,0.27,0.58,0.43
14,HG,BW,62,434,75.90,"1,069.00",186.95,0.95,0.72,0.36,0.27,0.58,0.44
15,HG,BW,65,455,78.26,"1,142.50",196.51,0.95,0.74,0.36,0.28,0.58,0.45
16,HG,BW,68,476,80.68,"1,211.50",205.35,0.95,0.77,0.36,0.29,0.58,0.47
17,HG,BW,71,497,83.16,"1,276.00",213.50,2.05,1.70,0.42,0.35,0.65,0.54
18,HG,BW,77,539,89.16,"1,335.50",220.92,2.05,1.83,0.42,0.37,0.65,0.58
19,HG,BW,82,574,94.04,"1,388.00",227.40,2.05,1.93,0.42,0.39,0.65,0.61
20,HG,BW,89,665,108.05,"1,435.00",233.15,2.05,2.21,0.42,0.45,0.65,0.70
21,HG,BW,95,665,107.34,"1,473.00",237.77,2.05,2.20,0.42,0.45,0.65,0.70
22,HG,BW,101,707,113.55,"1,503.00",241.39,2.05,2.33,0.42,0.48,0.65,0.74
23,HG,BW,104,728,116.61,"1,519.00",243.31,2.05,2.39,0.42,0.49,0.65,0.76
24,HG,BW,105,735,117.42,"1,535.00",245.23,2.05,2.41,0.42,0.49,0.65,0.76
25,HG,BW,106,742,118.26,"1,550.00",247.03,2.05,2.42,0.42,0.50,0.65,0.77
26,HG,BW,106,742,117.99,"1,564.00",248.70,2.05,2.42,0.42,0.50,0.65,0.77
27,HG,BW,107,749,118.86,"1,577.00",250.25,2.05,2.44,0.42,0.50,0.65,0.77
